repo,days_since_last_commit,bus_factor,issue_closure_rate_pct,pr_merge_rate_pct,commits_90d,contributors_sampled,has_ci,has_tests,archived,latest_release_age_days,latest_release_at,label
Atom-oh/oh-my-cloud-skills,0,1,0,90.0,100,3,1,1,0,2,2026-09-02T14:12:51Z,
AttemorySystem/spire-agent,0,1,0,0,36,1,0,1,0,8,2026-08-28T07:58:44Z,
AttoConjurer/FC-Mod-Manager-2026,0,1,0,0,100,1,0,0,0,0,2026-09-04T14:45:29Z,
Auriti-Labs/geo-optimizer-skill,0,1,88.1,89.2,100,7,1,1,0,5,2026-08-31T04:08:13Z,
Austinshu/PC2Sonos,0,1,0,100.0,38,2,0,1,0,0,2026-09-05T01:03:35Z,
AutomationPlease/MS365_SAP_Windows_Automated_Workflow_Tools,0,1,0,0,57,1,0,0,0,,,
AvdLee/SwiftUI-Agent-Skill,23,2,85.7,92.3,22,21,1,1,0,24,2026-08-12T13:13:11Z,
AvdLee/Xcode-Build-Optimization-Agent-Skill,142,1,50.0,100.0,0,6,1,0,0,156,2026-04-01T18:09:24Z,
AvenCores/open-antigravity-patcher,2,1,98.9,46.2,100,6,1,0,0,2,2026-09-02T18:45:58Z,
Averyy/pcbparts-mcp,0,1,100.0,100.0,100,3,1,1,0,,,
Awarexone/Agentic-Bug-Hunter,0,2,100.0,80.8,100,35,1,1,0,15,2026-08-21T06:46:47Z,
Awarexone/public-skills-builder,11,1,100.0,50.0,2,2,0,0,0,,,
AynOps/AynOps,0,1,81.1,88.7,100,29,1,1,0,89,2026-06-08T13:26:29Z,
Azhi-ss/academic-figure-skills,2,1,0,0,39,1,0,1,0,8,2026-08-27T18:36:04Z,
BBuf/AI-Infra-Auto-Driven-SKILLS,12,1,33.3,95.4,30,4,1,1,0,101,2026-05-26T14:13:15Z,
BBuf/KDA-Pilot,0,1,0,99.0,100,3,0,1,0,,,
BLANK2077/xverif,1,1,0,0,100,1,0,1,0,,,
BRKME/Polymarket_insider,0,1,0,66.7,100,11,1,1,0,,,
Baelfyre/Orchestra,0,1,0,75.9,100,3,1,1,0,1,2026-09-03T23:59:06Z,
BaggaT236/AI-Trading-Skills,1,1,100.0,0,22,2,1,1,0,,,
Bali-Zero/Teman2,0,1,0,96.7,100,10,1,1,0,,,
BareBrowser/bare-browser,4,1,26.3,0,93,2,0,0,0,8,2026-08-28T04:54:55Z,
Bartixxx32/OnePlus-antirollchecker,0,1,100.0,70.5,100,4,1,1,0,,,
BartolomeoRusso9/SpotiFLAC-Module-Version,2,1,91.7,99.0,100,10,1,1,0,2,2026-09-03T11:14:52Z,
BeWaterMyFriend7/SKILL-PROJECT,31,1,0,100.0,44,1,0,1,0,54,2026-07-12T14:42:31Z,
Beever-AI/beever-atlas,66,1,0,21.4,38,7,1,1,0,110,2026-05-18T00:07:57Z,
